1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Custodian Wealth Builders || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110449 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Bunge Agribusiness Australia Pty Ltd || Industry (ANZSIC4) code: 3312 || Industry (ANZSIC4) description: Cereal Grain Wholesaling || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Cafe Clicquot || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110449 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Asahi Premium Beverages || Industry (ANZSIC4) code: 3606 || Industry (ANZSIC4) description: Liquor and Tobacco Product Wholesaling || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Australian Bluegum Plantations || Industry (ANZSIC4) code: 301 || Industry (ANZSIC4) description: Forestry || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Intrec || Industry (ANZSIC4) code: 6924 || Industry (ANZSIC4) description: Other Specialised Design Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Insight Systems International Pty Ltd || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: SJB Planning || Industry (ANZSIC4) code: 6921 || Industry (ANZSIC4) description: Architectural Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: TSG Franchise Management Pty Ltd || Industry (ANZSIC4) code: 4279 || Industry (ANZSIC4) description: Other Store-Based Retailing n.e.c. || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Online Circle Digital || Industry (ANZSIC4) code: 6940 || Industry (ANZSIC4) description: Advertising Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
